"StichtagDatJahr","AlterV05Cd","AlterV05Lang","PLZ","AnzBestWir"
1993,70,"70- bis 74-Jährige","8006",713
1993,70,"70- bis 74-Jährige","8008",696
1993,70,"70- bis 74-Jährige","8032",686
1993,70,"70- bis 74-Jährige","8037",641
1993,70,"70- bis 74-Jährige","8038",950
1993,70,"70- bis 74-Jährige","8041",211
1993,70,"70- bis 74-Jährige","8044",390
1993,70,"70- bis 74-Jährige","8045",414
1993,70,"70- bis 74-Jährige","8046",756
1993,70,"70- bis 74-Jährige","8047",1095
1993,70,"70- bis 74-Jährige","8048",1200
1993,70,"70- bis 74-Jährige","8049",1049
1993,70,"70- bis 74-Jährige","8050",902
1993,70,"70- bis 74-Jährige","8051",1097
1993,70,"70- bis 74-Jährige","8052",650
1993,70,"70- bis 74-Jährige","8053",622
1993,70,"70- bis 74-Jährige","8055",941
1993,70,"70- bis 74-Jährige","8057",1044
1993,70,"70- bis 74-Jährige","8063",1
1993,70,"70- bis 74-Jährige","8064",147
1993,70,"70- bis 74-Jährige","8134",1
1993,70,"70- bis 74-Jährige","8152",4
1993,70,"70- bis 74-Jährige","9999",4
1993,75,"75- bis 79-Jährige","8001",101
1993,75,"75- bis 79-Jährige","8002",300
1993,75,"75- bis 79-Jährige","8003",577
1993,75,"75- bis 79-Jährige","8004",830
1993,75,"75- bis 79-Jährige","8005",223
1993,75,"75- bis 79-Jährige","8006",561
1993,75,"75- bis 79-Jährige","8008",587
1993,75,"75- bis 79-Jährige","8032",633
1993,75,"75- bis 79-Jährige","8037",581
1993,75,"75- bis 79-Jährige","8038",714
1993,75,"75- bis 79-Jährige","8041",151
1993,75,"75- bis 79-Jährige","8044",299
1993,75,"75- bis 79-Jährige","8045",331
1993,75,"75- bis 79-Jährige","8046",567
1993,75,"75- bis 79-Jährige","8047",761
1993,75,"75- bis 79-Jährige","8048",779
1993,75,"75- bis 79-Jährige","8049",721
1993,75,"75- bis 79-Jährige","8050",687
1993,75,"75- bis 79-Jährige","8051",716
1993,75,"75- bis 79-Jährige","8052",519
1993,75,"75- bis 79-Jährige","8053",388
1993,75,"75- bis 79-Jährige","8055",772
1993,75,"75- bis 79-Jährige","8057",844
1993,75,"75- bis 79-Jährige","8064",104
1993,75,"75- bis 79-Jährige","8152",1
1993,75,"75- bis 79-Jährige","9999",7
1993,80,"80- bis 84-Jährige","8001",141
1993,80,"80- bis 84-Jährige","8002",316
1993,80,"80- bis 84-Jährige","8003",512
1993,80,"80- bis 84-Jährige","8004",773
1993,80,"80- bis 84-Jährige","8005",195
1993,80,"80- bis 84-Jährige","8006",584
1993,80,"80- bis 84-Jährige","8008",583
1993,80,"80- bis 84-Jährige","8032",722
1993,80,"80- bis 84-Jährige","8037",544
1993,80,"80- bis 84-Jährige","8038",728
1993,80,"80- bis 84-Jährige","8041",165
1993,80,"80- bis 84-Jährige","8044",332
1993,80,"80- bis 84-Jährige","8045",334
1993,80,"80- bis 84-Jährige","8046",436
1993,80,"80- bis 84-Jährige","8047",645
1993,80,"80- bis 84-Jährige","8048",613
1993,80,"80- bis 84-Jährige","8049",628
1993,80,"80- bis 84-Jährige","8050",636
1993,80,"80- bis 84-Jährige","8051",582
1993,80,"80- bis 84-Jährige","8052",344
1993,80,"80- bis 84-Jährige","8053",340
1993,80,"80- bis 84-Jährige","8055",678
1993,80,"80- bis 84-Jährige","8057",725
1993,80,"80- bis 84-Jährige","8064",101
1993,80,"80- bis 84-Jährige","9999",10
1993,85,"85- bis 89-Jährige","8001",93
1993,85,"85- bis 89-Jährige","8002",186
1993,85,"85- bis 89-Jährige","8003",281
